glucose	conc	diameter	culture
glucose_yes	631048	21.1407916759166	1
glucose_yes	592007	21.4987178142895	2
glucose_yes	562977	21.3523249683137	3
glucose_yes	475069	20.9039282289746	4
glucose_yes	461040	21.6370714617067	5
glucose_yes	416154	21.2583924120848	6
glucose_yes	384825	20.2769076231833	7
glucose_yes	320950	22.6962223660308	8
glucose_yes	301935	21.4479673015095	9
glucose_yes	199122	22.2549256531282	10
glucose_yes	194859	22.6272521795114	11
glucose_yes	164747	22.5363931290493	12
glucose_yes	136962	23.2079799043132	13
glucose_yes	130122	23.4388903245253	14
glucose_yes	90001	23.4810801773735	15
glucose_yes	65929	23.8545815381312	16
glucose_yes	54934	23.8767841718389	17
glucose_yes	52048	23.5583014584387	18
glucose_yes	46029	23.3735059518256	19
glucose_yes	41097	24.5136145600127	20
glucose_yes	38054	24.1838957968943	21
glucose_yes	34052	25.421117168054	22
glucose_yes	32051	24.5501453425752	23
glucose_yes	30039	25.0412423461297	24
glucose_yes	28087	24.877325684697	25
glucose_yes	20900	24.1897584269756	26
glucose_yes	19899	25.81345769002	27
glucose_yes	15769	25.6602706694117	28
glucose_yes	14477	25.5551434755029	29
glucose_yes	13357	25.7629166563439	30
glucose_yes	11553	25.7196233670647	31
glucose_yes	10977	26.2442364025799	32
glucose_no	629835	19.348820681901	33
glucose_no	501088	19.4455009567825	34
glucose_no	332109	19.7553197725675	35
glucose_no	284988	21.0173937663138	36
glucose_no	201056	20.9802033578562	37
glucose_no	174862	21.0266034360851	38
glucose_no	128957	21.2506736938647	39
glucose_no	110740	20.5335737390199	40
glucose_no	78049	22.745066200615	41
glucose_no	69880	22.701371783306	42
glucose_no	69037	22.2388438018337	43
glucose_no	62028	22.664322279945	44
glucose_no	34878	23.9859993214069	45
glucose_no	27152	23.6432160533868	46
glucose_no	24048	23.5281297153941	47
glucose_no	22016	23.434184549826	48
glucose_no	13925	24.3614758122574	49
glucose_no	12929	24.3956523699203	50
glucose_no	11204	24.4070569114581	51
glucose_yes	631263	21.1929900905969	1
glucose_yes	592187	21.2496176855592	2
glucose_yes	562853	21.3674023413625	3
glucose_yes	475030	20.9097176568255	4
glucose_yes	461041	21.4599121690135	5
glucose_yes	416072	21.1873648810703	6
glucose_yes	385096	20.2751087400559	7
glucose_yes	321002	22.6974925547307	8
glucose_yes	301926	21.4527382144523	9
glucose_yes	198891	22.2024376474851	10
glucose_yes	194975	22.645437296389	11
glucose_yes	164973	22.5537405800431	12
glucose_yes	136959	23.2566387232305	13
glucose_yes	130014	23.510915093531	14
glucose_yes	90025	23.4017636822308	15
glucose_yes	65860	23.5794837941937	16
glucose_yes	55051	23.724346251296	17
glucose_yes	52011	23.546462380575	18
glucose_yes	45887	23.7565667602422	19
glucose_yes	40983	24.5158843776892	20
glucose_yes	37988	24.0194784902076	21
glucose_yes	33978	25.3707489276728	22
glucose_yes	31988	24.6401306564757	23
glucose_yes	29982	24.9647861607621	24
glucose_yes	27910	24.8437783986629	25
glucose_yes	20941	24.4412828393036	26
glucose_yes	19911	25.8748125464059	27
glucose_yes	16039	25.5085975708834	28
glucose_yes	14453	25.7278523949267	29
glucose_yes	13412	26.0605373973787	30
glucose_yes	11666	25.7691794084359	31
glucose_yes	10872	26.3646110983516	32
glucose_no	630111	19.1528277939267	33
glucose_no	501073	19.557336901747	34
glucose_no	331965	19.6089663648613	35
glucose_no	285050	21.0178074797503	36
glucose_no	201135	20.9684374714053	37
glucose_no	174867	21.0033657473975	38
glucose_no	129032	21.1834147291214	39
glucose_no	110962	20.4797794328475	40
glucose_no	78021	22.4439822619905	41
glucose_no	69972	22.7020180332393	42
glucose_no	69069	22.2419018843816	43
glucose_no	62135	22.7852384746678	44
glucose_no	35142	24.1251530521488	45
glucose_no	27061	23.7542207701271	46
glucose_no	23855	23.4335703978634	47
glucose_no	22126	23.4483220800207	48
glucose_no	13833	24.321161977069	49
glucose_no	12963	24.4342156753805	50
glucose_no	11019	24.201778745884	51
